crop,location,soil_type,growing_season,ph,temperature,rainfall,humidity,irrigation,fertilizer,previous_yield,area,n_content,p_content,k_content,yield
Corn,Great Plains,Black Soil,Summer,5.32,26.2,837.7,62.6,446.0,134.5,4.67,12.3,109.7,34.1,22.5,4.22
Potato,Midwest,Sandy Loam,Kharif,5.45,32.9,1093.5,72.2,728.7,263.1,13.19,18.6,53.8,20.0,23.8,12.92
Wheat,Southeast,Clay,Summer,7.44,31.4,1575.9,49.5,583.2,81.7,2.44,13.3,159.7,65.1,74.3,2.57
Corn,Central Valley,Sandy Loam,Summer,7.55,24.1,938.3,69.0,624.2,158.6,4.59,41.3,111.8,68.3,34.9,4.52
Potato,Midwest,Clay,Rabi,6.75,31.7,1448.6,76.1,469.1,232.1,14.99,24.2,83.8,28.1,97.0,14.34
Soybean,Great Plains,Clay,Spring,6.88,23.5,1187.4,46.4,854.7,52.2,2.24,23.0,153.5,73.4,54.0,2.02
Potato,Great Plains,Alluvial,Spring,7.27,22.0,1201.1,68.4,125.8,82.0,14.77,38.4,176.8,84.6,76.8,14.86
Cotton,Delta Region,Black Soil,Autumn,8.14,20.1,916.4,66.7,250.7,75.0,1.81,43.5,119.7,46.6,109.5,1.63
Rice,Midwest,Loamy,Autumn,7.68,28.1,388.9,49.9,829.1,138.8,3.4,9.7,68.8,35.4,72.4,3.5
Potato,Central Valley,Sandy Loam,Autumn,6.18,34.2,917.1,89.5,203.3,146.2,11.45,1.5,144.0,42.2,110.4,13.36
Wheat,Midwest,Clay,Summer,7.33,25.5,1225.4,87.0,570.0,165.6,2.6,22.2,135.9,34.3,20.7,2.65
Wheat,Great Plains,Loamy,Spring,5.94,22.6,1175.4,64.5,470.2,59.0,2.86,30.6,52.8,60.2,111.9,3.14
Corn,Pacific Northwest,Alluvial,Summer,7.67,33.0,951.8,49.0,594.2,149.4,4.4,20.2,93.9,61.1,89.9,4.52
Rice,Great Plains,Alluvial,Kharif,7.81,21.5,1260.7,54.6,833.0,210.6,3.42,12.7,141.1,30.2,69.3,3.35
Cotton,Delta Region,Loamy,Summer,5.52,31.3,822.7,62.5,302.2,166.4,1.57,4.8,104.7,20.1,89.4,1.85
Soybean,Great Plains,Silt Loam,Summer,7.77,23.9,365.6,45.7,833.7,125.2,1.81,37.6,144.8,48.9,26.8,2.0
Tomato,Pacific Northwest,Clay,Spring,7.66,32.8,597.4,40.9,180.4,117.7,19.71,7.9,114.9,42.4,27.8,17.25
Cotton,Central Valley,Alluvial,Summer,6.27,20.3,399.9,73.8,272.9,210.3,1.75,8.5,157.1,71.8,84.1,1.71
Soybean,Pacific Northwest,Loamy,Spring,6.53,28.0,420.6,58.9,261.4,107.4,2.21,34.8,167.2,29.0,21.6,2.19
Rice,Central Valley,Sandy Loam,Rabi,5.39,35.2,490.1,81.8,631.3,216.5,4.35,34.3,46.2,50.9,101.6,4.05
Corn,Delta Region,Alluvial,Rabi,8.0,23.9,970.4,51.6,184.7,124.4,4.22,31.6,42.1,60.8,21.2,4.01
Wheat,Great Plains,Clay,Kharif,6.04,28.5,413.7,84.3,428.9,226.5,3.16,33.2,109.9,84.3,91.3,3.34
Cotton,Delta Region,Clay,Summer,7.0,35.6,1359.7,73.9,877.9,209.6,1.58,48.0,86.5,59.5,108.4,1.69
Corn,Pacific Northwest,Silt Loam,Kharif,7.03,27.7,904.4,72.0,285.9,185.1,5.76,17.4,178.4,31.3,81.6,5.08
Rice,Southeast,Clay,Spring,7.06,17.2,893.1,54.8,221.3,97.0,4.12,38.1,45.3,79.6,79.8,3.96
Potato,Pacific Northwest,Sandy Loam,Rabi,7.13,31.2,1105.3,88.9,618.4,116.3,13.68,14.6,43.3,74.3,53.1,12.99
Wheat,Midwest,Black Soil,Kharif,7.2,21.0,1346.7,76.0,586.5,137.7,2.92,45.4,85.0,46.0,20.6,2.83
Cotton,Great Plains,Loamy,Rabi,8.18,34.8,532.1,48.7,539.1,232.9,1.62,3.6,68.6,50.5,62.6,1.51
Potato,Southeast,Clay,Rabi,5.73,21.0,763.8,62.4,608.5,112.5,14.57,13.0,149.4,20.6,117.3,13.57
Potato,Great Plains,Clay,Spring,6.72,30.7,1452.5,81.0,734.8,54.6,15.01,22.6,93.4,74.8,95.9,12.26
Corn,Delta Region,Black Soil,Rabi,5.73,23.6,793.5,54.2,549.7,160.6,4.83,28.1,86.7,65.0,39.6,4.84
Wheat,Central Valley,Loamy,Autumn,6.32,24.1,952.9,59.7,693.8,138.3,2.24,36.8,83.1,84.1,27.1,2.98
Rice,Central Valley,Silt Loam,Autumn,7.49,35.1,1468.3,77.6,378.9,213.1,4.5,9.0,128.9,40.8,25.8,3.75
Potato,Great Plains,Alluvial,Rabi,5.3,32.3,1264.9,73.8,658.0,198.4,18.14,12.9,76.6,46.9,88.1,14.68
Corn,Midwest,Black Soil,Autumn,7.72,16.2,1467.9,72.2,833.5,141.5,4.11,47.6,122.1,78.1,71.9,3.95
Wheat,Great Plains,Clay,Spring,6.11,35.4,1304.8,59.1,346.4,144.7,3.47,13.4,162.7,65.9,28.9,3.12
Soybean,Delta Region,Sandy Loam,Rabi,5.83,31.0,1363.6,40.3,234.7,163.1,2.38,14.2,53.6,69.2,61.8,2.13
Potato,Pacific Northwest,Sandy Loam,Spring,6.32,30.1,637.1,49.1,858.8,153.7,14.87,9.4,154.0,28.0,25.9,12.98
Wheat,Midwest,Sandy Loam,Spring,7.94,18.2,1272.8,44.0,168.6,78.7,3.15,22.6,49.0,17.1,43.5,2.81
Potato,Pacific Northwest,Loamy,Kharif,7.46,16.1,1194.5,89.4,177.5,170.1,12.9,4.0,41.0,57.2,118.7,14.72
Cotton,Southeast,Silt Loam,Spring,7.01,22.7,1338.7,57.2,352.2,105.1,2.09,38.1,90.6,42.9,81.1,1.98
Corn,Southeast,Loamy,Kharif,7.29,30.5,1637.6,46.9,581.5,249.9,3.85,23.4,79.1,63.9,101.5,4.14
Corn,Great Plains,Black Soil,Spring,7.18,16.1,1275.2,87.1,357.7,195.8,5.44,26.2,162.3,82.9,93.6,4.86
Soybean,Great Plains,Clay,Autumn,7.42,31.9,855.1,87.0,853.2,159.5,2.97,24.7,132.2,64.0,30.0,2.49
Potato,Southeast,Black Soil,Rabi,7.81,33.5,1488.0,75.8,125.4,164.5,14.92,35.9,52.2,73.3,119.6,13.41
Cotton,Great Plains,Clay,Spring,6.65,26.8,702.9,48.5,855.4,211.0,1.84,47.8,54.8,84.5,22.9,1.84
Corn,Great Plains,Sandy Loam,Rabi,7.2,35.0,1322.4,73.3,838.2,195.7,5.09,36.2,108.9,70.7,53.3,4.56
Wheat,Delta Region,Black Soil,Kharif,6.33,30.3,1417.2,59.1,613.7,179.2,2.82,32.6,159.9,71.6,42.4,2.66
Rice,Southeast,Loamy,Kharif,7.42,34.7,1429.7,45.8,394.2,246.3,2.75,5.4,173.6,55.4,20.2,3.37
Rice,Delta Region,Black Soil,Rabi,8.14,22.4,879.3,74.0,737.3,169.5,3.17,42.5,124.2,30.5,59.5,3.03
Tomato,Great Plains,Sandy Loam,Rabi,6.09,20.4,1336.0,47.4,326.7,221.8,19.05,41.0,158.9,72.9,23.4,19.4
Corn,Southeast,Black Soil,Kharif,7.74,27.5,1265.1,50.8,333.2,272.3,4.6,14.4,48.2,71.7,35.3,4.71
Soybean,Midwest,Alluvial,Rabi,5.36,33.3,609.6,64.4,413.4,276.4,2.23,35.3,132.3,74.4,119.1,2.1
Tomato,Great Plains,Sandy Loam,Spring,8.17,31.2,917.0,66.4,326.4,210.2,20.48,34.2,67.3,74.9,59.4,17.48
Wheat,Southeast,Black Soil,Kharif,7.33,25.2,587.4,46.9,656.8,116.9,3.33,42.6,60.3,30.3,94.8,3.11
Soybean,Pacific Northwest,Loamy,Summer,6.93,29.6,1783.3,47.4,860.3,148.2,1.98,36.6,157.8,79.8,29.6,2.16
Potato,Midwest,Loamy,Kharif,7.15,27.9,1756.1,71.3,423.2,57.8,14.12,49.0,73.7,49.2,88.8,12.52
Wheat,Pacific Northwest,Alluvial,Spring,8.17,29.4,479.9,63.2,754.6,137.9,3.46,39.0,128.5,46.2,21.2,2.89
Rice,Central Valley,Loamy,Spring,7.93,20.5,1200.9,89.4,483.6,209.6,3.82,32.4,53.2,56.5,58.4,3.59
Soybean,Pacific Northwest,Silt Loam,Summer,5.5,17.3,1667.9,79.8,247.9,237.0,2.56,29.0,42.8,53.9,73.6,2.19
Cotton,Delta Region,Silt Loam,Kharif,6.95,30.3,1495.6,46.2,702.4,272.1,1.79,26.4,165.7,27.6,79.9,1.83
Wheat,Central Valley,Black Soil,Spring,5.57,18.6,649.0,48.1,550.0,245.8,3.87,40.2,44.9,83.6,70.6,3.53
Corn,Delta Region,Clay,Spring,7.17,21.0,416.9,87.3,823.7,117.5,4.61,48.9,114.8,24.8,69.0,4.11
Corn,Delta Region,Sandy Loam,Autumn,5.83,18.0,1538.7,51.9,250.5,118.9,3.87,27.4,156.6,82.0,80.2,3.93
Wheat,Delta Region,Sandy Loam,Summer,7.07,17.5,719.7,59.1,822.9,142.0,2.91,7.3,51.7,32.8,62.5,3.01
Soybean,Midwest,Black Soil,Rabi,7.4,35.9,1360.4,49.6,397.7,201.2,2.22,4.5,154.9,57.3,62.0,2.18
Wheat,Southeast,Silt Loam,Spring,7.01,17.6,530.7,45.5,538.7,65.2,3.17,2.3,129.6,40.4,53.4,3.23
Corn,Midwest,Clay,Summer,6.33,35.4,899.0,45.3,840.5,90.4,4.64,1.5,142.0,36.5,102.1,4.02
Potato,Central Valley,Black Soil,Summer,7.8,27.0,1230.8,84.8,236.6,267.7,12.46,35.3,94.5,39.2,94.1,12.65
Cotton,Delta Region,Black Soil,Autumn,6.41,27.8,725.6,74.3,670.6,201.2,1.47,44.2,60.0,54.7,46.7,1.79
Soybean,Pacific Northwest,Sandy Loam,Rabi,6.45,25.2,986.5,57.7,474.9,116.0,2.71,34.2,173.4,51.4,91.8,2.49
Cotton,Midwest,Sandy Loam,Kharif,6.42,22.3,480.7,44.0,684.0,267.3,1.74,47.4,63.1,19.0,94.3,1.91
Tomato,Great Plains,Loamy,Spring,8.0,18.7,1071.8,74.3,641.4,172.5,18.4,34.2,57.5,16.0,39.0,16.74
Cotton,Pacific Northwest,Loamy,Spring,7.45,20.9,1421.5,87.5,758.7,252.5,1.63,35.4,113.9,57.6,80.7,1.59
Wheat,Pacific Northwest,Black Soil,Rabi,6.3,18.7,862.3,42.5,496.4,89.2,3.01,9.6,175.8,38.7,87.9,3.18
Cotton,Delta Region,Loamy,Summer,6.08,20.3,1420.1,68.4,274.0,120.1,1.84,15.7,170.6,60.0,102.6,1.77
Rice,Great Plains,Black Soil,Spring,5.22,25.2,782.6,45.4,379.8,216.2,4.05,3.8,96.3,15.6,63.1,3.96
Wheat,Central Valley,Black Soil,Autumn,6.43,34.3,360.0,78.5,300.1,158.3,3.66,45.0,92.4,40.5,109.2,3.01
Tomato,Southeast,Loamy,Spring,6.52,18.8,1433.3,40.3,806.9,213.1,11.1,33.2,55.5,34.9,33.4,15.2
Potato,Pacific Northwest,Sandy Loam,Kharif,5.8,25.6,1314.6,53.3,436.9,176.5,11.53,8.9,152.0,65.0,52.5,12.09
Cotton,Great Plains,Black Soil,Spring,8.07,31.9,532.9,57.2,110.9,207.4,1.48,7.4,47.3,73.1,63.0,1.42
Tomato,Pacific Northwest,Loamy,Spring,6.05,17.7,972.0,70.9,683.4,93.0,19.46,24.5,79.4,23.1,46.4,18.54
Soybean,Midwest,Alluvial,Spring,7.32,32.2,1366.7,65.1,245.0,278.3,2.01,10.7,122.8,59.4,42.9,1.86
Wheat,Great Plains,Loamy,Summer,7.99,24.5,1243.9,44.5,140.8,143.7,2.94,49.5,82.9,59.3,43.1,3.04
Corn,Great Plains,Silt Loam,Kharif,7.13,22.1,740.4,54.0,380.8,146.2,3.58,26.0,84.8,18.3,24.1,4.29
Rice,Pacific Northwest,Alluvial,Summer,6.62,34.2,496.1,49.2,858.7,133.6,3.79,11.4,82.6,21.8,21.4,3.87
Tomato,Midwest,Sandy Loam,Summer,6.28,31.6,1116.8,58.6,620.2,98.3,18.32,37.3,93.8,77.1,33.0,17.07
Soybean,Delta Region,Loamy,Kharif,7.94,29.1,626.1,75.2,840.4,67.2,2.59,29.7,116.5,39.0,92.5,2.23
Cotton,Midwest,Black Soil,Rabi,5.78,27.0,716.2,83.9,782.8,258.6,1.79,3.1,176.5,77.6,64.8,1.75
Soybean,Central Valley,Silt Loam,Kharif,6.77,35.0,1496.8,48.3,319.3,272.5,2.05,24.7,80.6,81.9,26.1,2.06
Soybean,Midwest,Alluvial,Spring,6.8,26.3,458.7,61.9,507.4,179.4,2.14,25.3,94.6,57.5,40.7,2.43
Rice,Midwest,Black Soil,Rabi,5.23,34.6,1093.6,65.2,676.5,109.5,3.02,30.0,159.3,35.7,46.9,2.94
Rice,Midwest,Clay,Kharif,6.08,28.8,1716.0,53.9,206.4,250.9,4.64,27.1,47.2,83.6,119.0,3.94
Wheat,Delta Region,Loamy,Kharif,7.1,35.4,820.6,87.3,807.2,110.7,2.88,32.8,58.7,77.9,49.5,3.08
Rice,Pacific Northwest,Loamy,Summer,8.1,19.5,1758.8,66.9,883.0,229.0,3.45,11.7,149.3,22.5,94.6,3.55
Potato,Pacific Northwest,Sandy Loam,Autumn,7.65,20.4,739.8,69.1,746.2,223.2,15.97,28.0,61.8,31.2,92.6,14.28
Corn,Midwest,Silt Loam,Kharif,6.58,32.3,605.4,68.5,854.7,91.5,6.09,25.3,79.5,36.7,108.5,4.97
Cotton,Great Plains,Alluvial,Autumn,5.63,24.5,1009.8,72.3,422.0,216.6,2.0,10.2,59.2,67.5,21.2,1.91
Rice,Great Plains,Silt Loam,Kharif,5.24,32.6,1705.3,46.6,716.1,111.6,4.54,6.4,171.4,57.0,99.2,3.9
Rice,Central Valley,Black Soil,Summer,5.45,18.8,1451.5,84.6,752.4,120.7,3.82,42.8,107.0,32.1,74.4,3.31
Corn,Pacific Northwest,Black Soil,Kharif,5.33,26.9,498.7,84.3,432.2,50.3,4.92,2.0,71.4,30.9,58.5,4.33
Corn,Pacific Northwest,Sandy Loam,Rabi,7.25,29.7,1386.5,85.1,493.5,277.9,5.99,46.2,71.4,82.0,48.2,5.14
Rice,Delta Region,Sandy Loam,Kharif,7.97,17.7,412.9,47.6,442.9,127.0,3.59,18.7,65.4,44.8,109.3,3.37
Soybean,Southeast,Black Soil,Summer,5.51,34.3,1309.5,86.6,748.6,213.6,1.76,18.1,50.7,15.2,113.3,1.75
Wheat,Pacific Northwest,Clay,Summer,6.54,31.9,1765.7,80.7,190.5,148.3,3.78,8.2,141.7,25.1,52.3,3.07
Wheat,Midwest,Silt Loam,Summer,6.47,29.9,950.2,79.7,366.8,234.5,2.7,16.6,131.6,32.2,61.9,3.01
Potato,Delta Region,Black Soil,Spring,7.66,23.7,1192.4,61.1,562.3,209.5,17.08,27.1,144.8,64.2,43.5,15.83
Rice,Midwest,Loamy,Summer,8.07,34.4,436.4,57.5,779.0,249.4,4.37,28.4,154.7,35.6,34.4,3.67
Cotton,Delta Region,Silt Loam,Rabi,5.87,30.9,520.0,74.8,214.5,218.6,1.42,11.3,137.5,44.7,25.4,1.73
Rice,Pacific Northwest,Black Soil,Kharif,6.98,19.2,563.0,47.1,296.0,52.9,3.62,24.4,156.3,44.2,96.5,3.51
Potato,Pacific Northwest,Clay,Autumn,6.1,24.2,839.1,79.1,656.2,116.0,17.39,35.2,61.8,76.7,23.2,15.76
Cotton,Midwest,Black Soil,Rabi,7.7,29.6,1620.2,67.7,763.6,261.4,1.92,1.5,110.3,64.7,62.4,1.91
Wheat,Southeast,Loamy,Autumn,8.05,30.9,930.6,42.8,413.8,239.2,2.89,19.5,176.6,57.4,27.7,2.95
Soybean,Great Plains,Silt Loam,Summer,6.42,23.6,429.3,58.6,439.4,112.1,2.22,33.0,54.6,40.4,97.9,2.28
Corn,Central Valley,Clay,Summer,5.52,20.2,365.9,85.5,250.2,96.4,5.65,9.0,170.1,31.8,28.5,4.61
Tomato,Delta Region,Loamy,Autumn,6.65,17.0,485.2,55.4,884.4,222.9,19.45,49.3,174.2,50.0,51.4,19.57
Potato,Pacific Northwest,Sandy Loam,Rabi,5.49,24.1,1425.1,45.1,746.0,84.5,13.71,35.4,122.2,41.7,78.6,12.26
Cotton,Central Valley,Sandy Loam,Rabi,6.59,33.7,485.3,75.9,807.5,235.7,1.52,8.4,131.6,68.8,36.1,1.5
Tomato,Delta Region,Alluvial,Autumn,7.99,22.8,1488.8,57.0,388.3,246.9,23.55,32.9,100.3,77.3,97.4,19.01
Potato,Midwest,Clay,Autumn,8.07,27.3,1791.9,44.9,112.0,226.3,14.02,30.7,83.3,75.7,99.7,12.28
Rice,Great Plains,Loamy,Spring,8.0,19.2,756.2,58.2,171.4,91.2,3.98,16.4,148.1,33.1,67.3,3.69
Corn,Great Plains,Alluvial,Rabi,8.12,25.8,877.0,54.3,427.2,192.5,5.19,47.1,135.3,45.9,71.2,4.55
Tomato,Southeast,Sandy Loam,Kharif,6.72,21.3,1619.5,74.1,596.5,198.1,17.55,34.4,143.7,32.1,102.1,16.68
Rice,Midwest,Loamy,Summer,6.91,33.1,673.4,83.7,635.3,130.3,3.66,19.4,105.6,52.5,101.8,3.94
Rice,Central Valley,Clay,Kharif,7.97,31.4,639.2,56.4,353.8,279.2,4.08,46.0,108.1,64.2,67.6,3.84
Corn,Great Plains,Loamy,Autumn,6.61,28.8,814.3,41.6,580.9,137.5,5.06,8.6,171.1,40.3,63.0,5.22
Potato,Midwest,Loamy,Rabi,8.06,29.7,741.3,71.8,166.9,65.9,14.89,43.5,96.7,35.9,91.2,12.44
Cotton,Great Plains,Black Soil,Rabi,5.98,32.6,484.0,85.1,373.6,223.2,1.91,33.8,63.0,39.4,61.9,1.76
Potato,Delta Region,Alluvial,Rabi,6.51,34.3,1177.0,81.2,548.7,255.6,13.35,48.3,67.8,65.6,77.8,14.29
Wheat,Southeast,Alluvial,Summer,7.89,34.7,1074.2,55.8,733.6,205.0,3.79,1.7,76.8,65.6,118.8,3.22
Cotton,Midwest,Alluvial,Spring,6.94,16.7,1431.3,49.4,657.2,228.1,1.88,32.3,124.1,30.1,41.0,1.87
Wheat,Pacific Northwest,Black Soil,Kharif,6.29,22.0,795.1,81.0,199.8,164.8,3.32,19.1,179.9,44.0,55.2,3.68
Cotton,Delta Region,Silt Loam,Autumn,6.21,34.5,1015.3,58.7,542.2,87.4,1.95,48.7,101.0,35.0,86.0,1.67
Soybean,Great Plains,Alluvial,Summer,8.01,34.1,493.9,44.4,769.8,70.6,2.45,35.4,42.3,80.3,30.4,2.14
Soybean,Delta Region,Black Soil,Kharif,6.71,32.1,1318.2,82.6,269.5,228.7,2.63,32.0,117.2,23.0,105.6,2.43
Rice,Southeast,Silt Loam,Spring,7.13,31.7,923.9,87.0,725.8,166.7,3.72,45.5,77.5,61.1,50.7,3.65
Cotton,Great Plains,Alluvial,Rabi,7.93,16.7,388.1,79.5,772.6,169.4,1.74,1.2,143.8,37.2,37.0,1.6
Tomato,Great Plains,Clay,Autumn,5.78,28.9,1551.4,80.1,562.3,79.6,16.43,48.7,129.1,83.4,37.4,16.32
Corn,Delta Region,Clay,Spring,7.33,18.5,521.6,68.8,413.6,225.3,5.75,12.3,168.3,73.6,35.9,4.91
Corn,Midwest,Loamy,Kharif,5.23,31.4,571.9,70.9,534.9,273.7,3.77,2.3,120.1,16.8,93.4,4.27
Potato,Pacific Northwest,Alluvial,Summer,7.16,20.4,631.1,82.0,681.1,235.6,17.1,10.1,92.9,33.2,25.2,15.71
Rice,Midwest,Alluvial,Kharif,6.94,18.1,1015.7,69.8,185.7,115.0,3.72,32.3,165.2,21.5,69.4,3.7
Corn,Midwest,Silt Loam,Kharif,5.27,17.5,1740.9,43.8,649.9,136.3,4.06,25.1,83.9,78.6,100.9,4.01
Wheat,Southeast,Loamy,Rabi,7.09,33.1,520.0,57.1,377.4,278.8,3.14,33.3,124.0,15.4,72.2,3.17
Corn,Central Valley,Clay,Autumn,5.27,26.2,570.9,83.3,191.8,99.9,3.99,2.4,85.9,30.4,92.8,3.88
Wheat,Southeast,Sandy Loam,Spring,5.48,30.2,1295.3,63.4,747.2,150.3,3.55,10.8,172.5,79.6,45.0,2.9
Wheat,Pacific Northwest,Alluvial,Summer,5.51,31.9,1202.0,48.3,264.7,216.1,4.03,48.1,100.7,46.2,79.6,3.3
Corn,Southeast,Black Soil,Kharif,6.49,27.3,892.2,71.6,151.4,88.5,4.76,30.8,44.7,50.8,78.7,4.92
Corn,Delta Region,Alluvial,Autumn,5.29,19.6,817.9,79.5,386.2,66.7,3.62,18.3,132.0,41.0,98.0,3.5
Rice,Central Valley,Sandy Loam,Kharif,5.84,27.3,816.3,51.6,153.0,115.2,2.93,36.1,69.7,30.2,76.1,3.51
Soybean,Delta Region,Alluvial,Kharif,7.14,29.6,981.0,80.7,258.5,61.4,2.02,29.1,109.2,18.3,47.4,2.34
Rice,Central Valley,Silt Loam,Rabi,6.97,20.7,380.8,40.9,726.6,182.4,3.48,30.5,40.7,47.3,33.1,3.64
Potato,Central Valley,Black Soil,Autumn,7.13,17.4,487.9,80.1,678.6,113.2,17.85,2.9,145.5,43.0,75.6,17.11
Corn,Great Plains,Black Soil,Kharif,7.29,25.1,1580.6,88.4,197.1,136.0,6.02,20.3,126.5,17.1,24.8,5.41
Rice,Midwest,Loamy,Summer,7.37,20.5,477.6,76.2,749.8,237.7,4.38,43.2,115.3,15.3,88.8,4.05
Rice,Southeast,Loamy,Kharif,6.11,21.3,1347.5,79.6,403.6,210.7,4.24,3.4,169.5,55.8,32.0,3.87
Corn,Midwest,Black Soil,Spring,7.2,26.4,698.8,63.9,492.1,114.5,4.04,32.2,148.2,48.8,29.2,4.39
Cotton,Southeast,Alluvial,Kharif,7.71,20.8,1288.3,82.8,656.0,67.3,1.75,18.3,109.2,29.9,87.0,1.56
Potato,Great Plains,Clay,Spring,5.83,27.8,1115.1,82.9,708.4,121.7,16.01,6.1,103.6,25.8,70.5,14.55
Wheat,Midwest,Sandy Loam,Spring,7.8,26.3,1481.0,49.4,322.3,87.8,3.24,48.8,83.0,75.9,84.8,3.06
Wheat,Great Plains,Loamy,Kharif,7.88,19.7,391.5,73.1,462.1,111.1,2.65,12.8,169.8,20.9,63.1,2.85
Wheat,Great Plains,Black Soil,Spring,5.36,21.5,491.8,72.4,685.6,147.2,2.86,25.9,81.2,43.2,79.4,2.73
Tomato,Delta Region,Silt Loam,Autumn,7.24,28.9,1740.5,51.0,142.5,58.2,17.78,22.2,77.3,19.6,30.1,17.43
Wheat,Delta Region,Alluvial,Spring,5.5,30.7,1625.3,53.4,264.6,230.7,3.93,20.2,88.7,35.2,79.6,3.39
Soybean,Central Valley,Loamy,Rabi,7.3,25.5,792.7,85.3,290.9,122.5,1.86,25.7,49.7,28.1,110.0,2.25
Wheat,Central Valley,Alluvial,Spring,5.26,35.5,1627.8,48.5,708.2,52.2,3.79,22.0,89.3,48.2,20.1,3.1
Cotton,Midwest,Silt Loam,Kharif,5.25,29.6,771.5,51.4,502.5,223.6,1.74,3.2,148.5,22.0,100.4,1.65
Corn,Great Plains,Silt Loam,Summer,5.97,25.7,878.2,40.7,382.1,213.3,4.34,49.5,164.8,69.2,105.7,4.78
Cotton,Delta Region,Silt Loam,Kharif,6.76,28.8,564.5,60.5,276.2,278.6,2.31,14.2,90.0,17.2,77.8,2.2
Soybean,Great Plains,Sandy Loam,Rabi,5.78,35.1,1276.2,88.3,801.7,206.1,2.04,37.5,165.9,46.4,115.8,1.82
Tomato,Midwest,Sandy Loam,Summer,6.37,24.3,1791.2,55.5,132.9,169.6,18.38,44.5,88.1,57.9,63.3,16.03
Potato,Delta Region,Sandy Loam,Summer,5.23,34.5,563.3,74.0,518.5,116.6,15.2,6.4,118.1,26.4,68.7,13.1
Rice,Southeast,Loamy,Spring,6.05,27.9,427.1,55.3,444.3,201.9,3.53,3.0,40.1,32.6,55.0,3.58
Corn,Delta Region,Alluvial,Autumn,5.46,21.4,1794.1,49.8,568.2,68.6,4.95,8.6,70.6,48.1,55.5,4.15
Cotton,Pacific Northwest,Alluvial,Spring,8.1,18.0,728.8,55.1,348.6,179.7,1.48,21.7,135.0,37.6,77.8,1.33
Soybean,Midwest,Sandy Loam,Rabi,5.8,22.1,781.1,86.4,468.9,92.2,2.19,21.4,149.5,73.4,29.6,2.25
Tomato,Great Plains,Alluvial,Summer,7.26,23.2,863.6,63.3,869.2,156.1,22.49,25.7,167.8,16.8,96.7,19.79
Rice,Midwest,Black Soil,Summer,6.94,23.5,1250.3,85.0,802.2,62.3,3.46,39.5,158.3,23.8,87.0,3.54
Potato,Delta Region,Silt Loam,Kharif,6.01,35.7,505.2,69.7,757.6,180.1,12.33,5.1,136.7,75.5,32.1,13.2
Tomato,Pacific Northwest,Black Soil,Kharif,6.75,27.2,1752.6,46.8,816.0,197.1,20.07,35.4,61.7,59.0,91.9,19.5
Rice,Great Plains,Black Soil,Rabi,5.2,28.1,525.5,44.8,263.4,159.0,3.74,6.6,156.6,46.1,25.6,3.52
Rice,Southeast,Silt Loam,Spring,7.66,32.8,1142.7,81.1,645.1,247.6,3.3,49.2,126.4,45.3,83.6,3.3
Wheat,Midwest,Alluvial,Rabi,7.42,26.9,1040.4,54.5,634.0,270.6,3.09,9.4,109.0,61.7,59.1,3.08
Soybean,Central Valley,Silt Loam,Spring,5.64,21.7,524.2,59.5,564.4,57.8,2.5,40.9,131.1,61.0,64.4,2.09
Corn,Midwest,Silt Loam,Spring,8.15,23.2,1591.0,65.2,379.1,212.4,5.63,14.6,94.7,19.4,85.6,4.57
Corn,Pacific Northwest,Alluvial,Autumn,7.35,31.7,753.6,78.1,342.3,140.6,4.59,17.6,168.3,60.2,57.7,4.5
Potato,Delta Region,Alluvial,Rabi,7.98,31.5,1111.9,46.5,359.3,269.7,9.23,29.2,88.7,58.2,60.4,11.88
Rice,Central Valley,Alluvial,Rabi,7.2,26.0,1335.0,56.2,285.2,227.5,4.22,12.4,168.4,70.7,30.5,4.05
Wheat,Pacific Northwest,Silt Loam,Spring,5.39,21.0,404.3,77.5,453.2,136.1,3.23,46.2,128.4,17.1,37.4,3.18
Rice,Pacific Northwest,Silt Loam,Spring,7.11,27.1,633.8,64.6,643.1,101.9,2.91,7.5,143.9,45.4,72.9,3.37
Cotton,Midwest,Loamy,Autumn,8.08,17.9,398.2,47.0,104.2,228.1,2.01,2.2,119.6,75.5,54.1,1.61
Soybean,Pacific Northwest,Alluvial,Autumn,7.7,27.4,1036.9,57.6,594.8,178.5,2.3,25.3,59.3,19.7,62.8,2.1
Potato,Central Valley,Black Soil,Kharif,6.75,18.0,1073.1,42.6,532.4,55.2,15.51,7.2,155.0,35.3,102.8,14.89
Potato,Pacific Northwest,Sandy Loam,Kharif,5.67,21.8,1124.9,52.1,514.2,190.6,10.99,43.7,83.7,58.3,74.6,13.3
Rice,Delta Region,Silt Loam,Summer,5.3,24.4,640.7,84.4,147.5,97.0,3.38,33.0,154.3,38.1,95.7,3.25
Rice,Midwest,Silt Loam,Kharif,6.89,28.2,1560.8,80.4,376.7,66.3,3.91,40.5,98.3,66.8,112.9,3.83
Tomato,Great Plains,Clay,Summer,5.51,25.9,676.6,57.5,482.1,229.8,15.26,36.4,162.7,30.9,113.1,16.38
Rice,Midwest,Black Soil,Autumn,7.25,30.8,1151.1,42.6,712.5,210.0,4.04,43.2,100.2,44.9,33.8,4.08
Potato,Central Valley,Black Soil,Summer,6.23,34.4,695.3,44.6,108.0,145.0,14.88,18.2,145.4,71.5,73.6,13.92
